id,title,description,genre,amazon link
28757261,Harry Potter and the Philosopher's Stone,"Harry Potter has never even heard of Hogwarts when the letters start dropping on the doormat at number four, Privet Drive. Addressed in green ink on yellowish parchment with a purple seal, they are swiftl Harry Potter has never even heard of Hogwarts when the letters start dropping on the doormat at number four, Privet Drive. Addressed in green ink on yellowish parchment with a purple seal, they are swiftly confiscated by his grisly aunt and uncle. Then, on Harry's eleventh birthday, a great beetle-eyed giant of a man called Rubeus Hagrid bursts in with some astonishing news: Harry Potter is a wizard, and he has a place at Hogwarts School of Witchcraft and Wizardry. An incredible adventure is about to begin!",Fantasy ,https://www.goodreads.com//book_link/follow/17439?book_id=28757261&source=dropdown
2767052,The Hunger Games,"In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and once girl between the ages of twelve and ei In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and once girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV. Sixteen-year-old Katniss Everdeen regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead beforeâand survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weight survival against humanity and life against love.",Young Adult ,https://www.goodreads.com//book_link/follow/17439?book_id=2767052&source=dropdown
41865,Twilight,"About three things I was absolutely positive. First, Edward was a vampire. Second, there was a part of himâand I didn't know how dominant that part might beâthat thirsted for my blood. And third, I was unconditionally and irrevocably in love with him. Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.",Young Adult ,https://www.goodreads.com//book_link/follow/17439?book_id=41865&source=dropdown
2657,To Kill a Mockingbird,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic. Compassionate, dramatic, and deepl The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic. Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.",Classics ,https://www.goodreads.com//book_link/follow/17439?book_id=2657&source=dropdown
4671,The Great Gatsby,"Alternate Cover Edition ISBN: 0743273567 (ISBN13:  ) The Great Gatsby, F. Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story is of the fabulously wealthy Jay Gatsby and his new love for the beautiful Daisy Buchanan, of lavish parties on Long  Alternate Cover Edition ISBN: 0743273567 (ISBN13:  ) The Great Gatsby, F. Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story is of the fabulously wealthy Jay Gatsby and his new love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted ""gin was the national drink and sex the national obsession,"" it is an exquisitely crafted tale of America in the 1920s. The Great Gatsby is one of the great classics of twentieth-century literature. (back cover)",Classics ,https://www.goodreads.com//book_link/follow/17439?book_id=4671&source=dropdown
12941351,The Fault in Our Stars,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazelâs story is about to be completely rewritten. Insightful, bold, irreverent, and raw, The Fault in Our Stars Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazelâs story is about to be completely rewritten. Insightful, bold, irreverent, and raw, The Fault in Our Stars brilliantly explores the funny, thrilling, and tragic business of being alive and in love. --penguinteen.com",Young Adult ,https://www.goodreads.com//book_link/follow/17439?book_id=12941351&source=dropdown
5470,1984,"The year 1984 has come and gone, but George Orwell's prophetic, nightmarish vision in 1949 of the world we were becoming is timelier than ever.   is still the great modern classic of ""negative utopia""âa startlingly original and haunting novel that creates an imaginary world that is completely convincing, from the first sentence to the last four words. No one can deny th The year 1984 has come and gone, but George Orwell's prophetic, nightmarish vision in 1949 of the world we were becoming is timelier than ever.   is still the great modern classic of ""negative utopia""âa startlingly original and haunting novel that creates an imaginary world that is completely convincing, from the first sentence to the last four words. No one can deny the novel's hold on the imaginations of whole generations, or the power of its admonitionsâa power that seems to grow, not lessen, with the passage of time.",Classics ,https://www.goodreads.com//book_link/follow/1?book_id=5470&source=dropdown
18073938,Orgoglio e Pregiudizio,"I Bennet sono una famiglia rispettabile, ma non agiata, che vive nellâHertfordshire, composta dai genitori e da cinque sorelle: Jane, Elisabeth, Mary, Catherine e Lydia. La signora Bennet Ã¨ una donna frivola e dal comportamento spesso imbarazzante, il cui unico scopo nella vita Ã¨ quello di trovare un buon marito alle proprie fi glie. Quando il ricco Charles Bingley si tras I Bennet sono una famiglia rispettabile, ma non agiata, che vive nellâHertfordshire, composta dai genitori e da cinque sorelle: Jane, Elisabeth, Mary, Catherine e Lydia. La signora Bennet Ã¨ una donna frivola e dal comportamento spesso imbarazzante, il cui unico scopo nella vita Ã¨ quello di trovare un buon marito alle proprie fi glie. Quando il ricco Charles Bingley si trasferisce vicino alla tenuta dei Bennet con le due sorelle e lâamico Darcy, si verificano cambiamenti importanti. Jane infatti si innamora, ricambiata, di Bingley, mentre tra Darcy ed Elisabeth si crea subito una forte antipatia. Nei giorni successivi Jane si reca a trovare Miss Bingley, ma a causa di un temporale si ammala ed Ã¨ costretta a restare a casa dellâamica. Elisabeth raggiunge la sorella per assisterla ed Ã¨ proprio in questa occasione che Darcy approfondisce la sua conoscenza della ragazza e se ne innamora. Lâarroganza ed il pregiudizio di Darcy tuttavia lo portano a convincere Bingley che Jane non Ã¨ innamorata di lui, allontanandolo cosÃ¬ da Netherfield. Jane ne soffre moltissimo ed Elisabeth si convince ancora di piÃ¹ della bassezza morale di Darcy, causa dellâinfelicitÃ  della sorella. In seguito, durante un viaggio di piacere a Londra, Elisabeth incontra di nuovo Darcy; i due in quellâoccasione hanno modo di chiarirsi ed i loro sentimenti sembrano finalmente superare i pregiudizi e lâorgoglio di classe. --edizionicrescere.it",Classics ,https://www.goodreads.com//book_link/follow/17439?book_id=18073938&source=dropdown
13335037,Divergent,"In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtueâCandor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent). On an appointed day of every year, all sixteen-year-olds must select the faction to which they will devote the In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtueâCandor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent). On an appointed day of every year, all sixteen-year-olds must select the faction to which they will devote the rest of their lives. For Beatrice, the decision is between staying with her family and being who she really isâshe can't have both. So she makes a choice that surprises everyone, including herself. During the highly competitive initiation that follows, Beatrice renames herself Tris and struggles alongside her fellow initiates to live out the choice they have made. Together they must undergo extreme physical tests of endurance and intense psychological simulations, some with devastating consequences. As initiation transforms them all, Tris must determine who her friends really areâand where, exactly, a romance with a sometimes fascinating, sometimes exasperating boy fits into the life she's chosen. But Tris also has a secret, one she's kept hidden from everyone because she's been warned it can mean death. And as she discovers unrest and growing conflict that threaten to unravel her seemingly perfect society, she also learns that her secret might help her save those she loves . . . or it might destroy her.",Young Adult ,https://www.goodreads.com//book_link/follow/17439?book_id=13335037&source=dropdown
5907,"The Hobbit, or There and Back Again","In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort. Written for J.R.R. Tolkienâs own children, The Hobbit met with instant critical acclaim when it was first published in 1937. Now In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort. Written for J.R.R. Tolkienâs own children, The Hobbit met with instant critical acclaim when it was first published in 1937. Now recognized as a timeless classic, this introduction to the hobbit Bilbo Baggins, the wizard Gandalf, Gollum, and the spectacular world of Middle-earth recounts of the adventures of a reluctant hero, a powerful and dangerous ring, and the cruel dragon Smaug the Magnificent. The text in this 372-page paperback edition is based on that first published in Great Britain by Collins Modern Classics (1998), and includes a note on the text by Douglas A. Anderson (2001).",Fantasy ,https://www.goodreads.com//book_link/follow/17439?book_id=5907&source=dropdown
